COUNTRY,2022 RECORDED EXECUTIONS,2022 RECORDED DEATH SENTENCES,PEOPLE KNOWN TO BE UNDER SENTENCE OF DEATH AT THE END OF 2022
China,1000.5,0.5,0.5
Iran,576.5,0.5,0.5
Saudi Arabia,196,12.5,21.5
Egypt,24,538,0.5
USA,18,21,2276
Iraq,11.5,41.5,7900.5
Singapore,11,5,50.5
Kuwait,7,16.5,24.5
Somalia,6.5,10.5,10.5
South Sudan,5.5,4.5,341.5
Palestine (State of),5,28,238.5
Yemen,4.5,78.5,84.5
Bangladesh,4,169.5,2000.5
Myanmar,4,37.5,119.5
Japan,1,0,116
Belarus,1,0,1
Afghanistan,0.5,0.5,0.5
North Korea,0.5,0.5,0.5
Vietnam,0.5,102.5,1200.5
Syria,0.5,0.5,0.5
Antigua and Barbuda,0,0,0
Bahamas,0,0,0
Barbados,0,0,5
Belize,0,0,0
Cuba,0,0,0
Dominica,0,0,0
Grenada,0,0,1
Guatemala,0,0,0
Guyana,0,4,17
Jamaica,0,0,0
Saint Kitts and Nevis,0,0,0
Saint Lucia,0,0,0
Saint Vincent and the Grenadines,0,0,1
Trinidad and Tobago,0,5.5,43
Brunei Darussalam,0,0,0.5
India,0,165,539
Indonesia,0,112.5,452.5
Laos,0,5.5,0.5
Malaysia,0,16.5,"1,337"
Maldives,0,1,20
Pakistan,0,127.5,3831.5
Papua New Guinea,0,0,28
South Korea,0,1,60
Sri Lanka,0,8.5,1000.5
Taiwan,0,3,45
Thailand,0,104,195
Tonga,0,0,0
Kazakhstan,0,0,1
Russia,0,0,0
Tajikistan,0,0,0
Algeria,0,54,0.5
Bahrain,0,2.5,41.5
Israel,0,0,0
Jordan,0,4.5,219.5
Lebanon,0,2.5,0.5
Libya,0,18.5,18.5
Morocco/Western Sahara,0,0,82
Oman,0,0,0.5
Qatar,0,0.5,0.5
Tunisia,0,26.5,115.5
United Arab Emirates,0,2.5,11.5
Botswana,0,1,7
Burkina Faso,0,0,0
Cameroon,0,0,250.5
Central African Republic,0,0,0
Comoros,0,2,12
Democratic Republic of the Congo,0,76.5,166.5
Equatorial Guinea,0,0,-
Eritrea,0,0,-
Eswatini,0,0,1
Ethiopia,0,2.5,0.5
Gambia,0,9,13
Ghana,0,7,172
Kenya,0,79,656
Lesotho,0,0,0
Liberia,0,0,17
Malawi,0,0,0.5
Mali,0,8.5,8.5
Mauritania,0,5.5,163.5
Niger,0,4.5,8.5
Nigeria,0,77.5,3167.5
Sierra Leone,0,0,0
Sudan,0,1.5,96.5
Tanzania,0,11,491.5
Uganda,0,0,135.5
Zambia,0,2.5,390.5
Zimbabwe,0,0,61